Title,Authors,DOI,DOI link,Venue,Citation count,Year,Filename,Addresses_Patterns,"Reasoning for ""Addresses_Patterns""",Addresses_LogicalReasoning,"Reasoning for ""Addresses_LogicalReasoning""",Mentions_NetworksInternet,"Reasoning for ""Mentions_NetworksInternet""",Mentions_ComputingImpact,"Reasoning for ""Mentions_ComputingImpact""",Type_PluggedActivity,"Reasoning for ""Type_PluggedActivity""",Type_UnpluggedActivity,"Reasoning for ""Type_UnpluggedActivity""",Type_VisualProgramming,"Reasoning for ""Type_VisualProgramming""",Type_Course,"Reasoning for ""Type_Course""",Type_Video,"Reasoning for ""Type_Video""",Duration_Session,"Reasoning for ""Duration_Session""",Duration_Week,"Reasoning for ""Duration_Week""",Duration_Month,"Reasoning for ""Duration_Month""",Fits_EducacionInfantil,"Reasoning for ""Fits_EducacionInfantil""",Fits_CicloEP,"Reasoning for ""Fits_CicloEP""",Fits_ESO,"Reasoning for ""Fits_ESO""",Fits_Bachillerato,"Reasoning for ""Fits_Bachillerato""",Fits_Mathematics,"Reasoning for ""Fits_Mathematics""",Promotes_Teamwork,"Reasoning for ""Promotes_Teamwork""","Promotes_CreativityScientificSpirit ","Reasoning for ""Promotes_CreativityScientificSpirit """,Promotes_GoodUseICT,"Reasoning for ""Promotes_GoodUseICT""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Lesson 1: Be A Super Digital Citizen,-,-,-,-,-,-,Course-E-2024.pdf,no,No explicit mention of the resource addressing pattern recognition or generalization.,no,No explicit mention of the resource addressing logical reasoning.,yes,"The resource discusses online tools and communities, indicating it mentions networks, the internet, or web technologies.",yes,The resource strongly addresses the social impact of computing through discussions of cyberbullying and digital citizenship.,maybe,"The resource involves online tools, but the specific activity format is unclear from the abstract.",no,The abstract does not provide enough information to determine if the resource is primarily an unplugged activity.,no,No mention of the resource requiring a visual/block-based programming environment.,yes,"The resource is part of a Digital Citizenship Curriculum, indicating it is structured as a full course or curriculum unit.",no,No explicit mention of the resource being mainly video-based material.,no,The abstract does not specify the estimated duration of the resource.,no,The abstract does not specify the estimated duration of the resource.,no,The abstract does not specify the estimated duration of the resource.,no,"The abstract only mentions ""students"" without specifying the age group, so it's unclear if the resource is explicitly suitable for Educación Infantil.",no,"The abstract only mentions ""students"" without specifying the age group, so it's unclear if the resource is suitable for Ciclo de Educación Primaria.",no,"The abstract only mentions ""students"" without specifying the age group, so it's unclear if the resource is suitable for ESO.",no,"The abstract only mentions ""students"" without specifying the age group, so it's unclear if the resource is suitable for Bachillerato.",no,No mention of the resource being intended for Mathematics curricula.,maybe,The resource implicitly promotes teamwork through community building and upstander activities.,no,No explicit mention of the resource promoting creativity and scientific spirit.,yes,"The resource strongly focuses on responsible online behavior and digital citizenship, indicating it promotes the good use of ICT.",Exclude,"This digital citizenship curriculum strongly addresses computing impact and responsible internet use, with a focus on online community building and combating cyberbullying. While demonstrating clear educational value in promoting good ICT practices, the resource lacks specificity about duration, target age groups, and precise activity types. The material emphasizes social learning about digital interactions without detailing specific pedagogical mechanisms.",1.6
No title found,-,-,-,-,-,-,Pre-reader-Express-2024.pdf,no,No explicit mention of pattern recognition or generalization in the description.,no,No statement that learners will practice logical reasoning.,no,"No mention of networks, the internet, or web technologies.",no,"No explicit discussion of the social, ethical, or environmental impact of computing.",yes,"The resource is clearly described as a computer-based, plugged activity.",no,"The resource is not an unplugged activity, as it requires a computer.",no,No mention of a visual or block-based programming environment.,no,"The resource appears to be a single lesson, not a full course or curriculum unit.",no,No indication that the resource is primarily video-based.,yes,"The estimated duration is up to 2 hours, which fits the Session category.",maybe,The estimated duration of a single session suggests it does not fit the Week category.,no,The estimated duration of a single session suggests it does not fit the Month category.,maybe,The basic nature and early primary focus of the resource suggest it may be suitable for Educación Infantil.,maybe,The basic nature and early primary focus of the resource suggest it may be suitable for Ciclo de Educación Primaria.,no,The basic nature and early primary focus of the resource suggest it is not suitable for ESO.,no,The basic nature and early primary focus of the resource suggest it is not suitable for Bachillerato.,no,The resource is not specifically focused on mathematics curricula.,no,No explicit mention of the resource promoting teamwork.,no,"Limited evidence that the activity promotes creativity and scientific spirit, as the focus is on basic computer skills.",yes,The resource is described as promoting the good use of ICT through proper computer skills and lab manners.,Exclude,"A basic computer skills lesson focused on drag-and-drop techniques for early learners, primarily meeting criteria for a plugged, single-session activity that promotes good ICT use. The resource lacks depth in pattern recognition, logical reasoning, and creative elements, and does not address networks or broader computing impacts.",1.3
No title found,-,-,-,-,-,-,Course-D-2024.pdf,yes,"The lesson involves loops, which is a fundamental programming pattern. This indicates that the resource addresses pattern recognition and generalization.",yes,"The resource mentions problem-solving practice and debugging exercises, which suggests that it addresses logical reasoning.",no,"- No reasoning provided, as the resource does not explicitly mention networks, the internet, or web technologies.",no,"- No reasoning provided, as the resource does not discuss the social, ethical, or environmental impact of computing.",yes,"The resource uses a Music Lab IDE, which indicates that it is a computer-based, plugged activity.",no,"The activity requires computer use, so it is not an unplugged activity.",yes,"The resource explicitly mentions a ""block-based IDE"" and ""repeat block"", indicating that it involves a visual/block-based programming environment.",maybe,"The resource appears to be part of a larger curriculum, as it mentions Lessons 10 and 11, but it is unclear if it is a full course.",no,"The resource mentions a ""Skill Building Video"", suggesting that it includes video-based material, but it is not the primary format.",no,"- No reasoning provided, as the duration of the resource is not explicitly mentioned.",no,"- No reasoning provided, as the duration of the resource is not explicitly mentioned.",no,"- No reasoning provided, as the duration of the resource is not explicitly mentioned.",no,"- No reasoning provided, as the educational level for which the resource is suitable is not explicitly mentioned.",no,"- No reasoning provided, as the educational level for which the resource is suitable is not explicitly mentioned.",no,"- No reasoning provided, as the educational level for which the resource is suitable is not explicitly mentioned.",no,"- No reasoning provided, as the educational level for which the resource is suitable is not explicitly mentioned.",maybe,"While the resource involves logic and patterns, it is not explicitly mentioned as being intended for Mathematics curricula.",no,"- No reasoning provided, as the resource does not mention promoting teamwork.",yes,"The resource encourages creative music composition and problem-solving, which suggests that it promotes creativity and scientific spirit.",yes,"The resource teaches the productive use of technology for creative expression, which indicates that it promotes the good use of ICT.",Exclude,"A computer-based lesson using block programming that strongly promotes pattern recognition, logical reasoning, and creative problem-solving through music composition. The resource demonstrates robust engagement with visual programming techniques and good ICT use, though it lacks explicit details about duration, educational levels, and broader computing impacts.",2.3
Modeling Animal Adaptations,-,-,-,-,-,-,Modeling-Animal-Adaptations.pdf,maybe,"Elicit notes that while the description does not explicitly state that learners will practice pattern recognition or generalization, working with sprites and behaviors may involve pattern recognition indirectly.",maybe,"Elicit states that the description does not explicitly mention that learners will practice logical reasoning, but programming behaviors likely involves some logical reasoning.",no,"Elicit indicates that the description does not mention networks, the internet, or web technologies.",no,"Elicit notes that the description does not explicitly mention the social, ethical, or environmental impact of computing.",yes,"Elicit states that the resource clearly involves a computer-based activity with programming sprites, indicating that it is a plugged activity.",no,"Elicit notes that the resource is not an unplugged activity, as it does not require a computer.",maybe,"Elicit suggests that while not explicitly stated, the reference to sprites and behaviors suggests the use of a visual programming environment, likely Scratch or similar.",yes,"Elicit states that the resource is described as a ""module,"" suggesting that it is part of a structured unit or course.",yes,Elicit notes that the resource includes a video component (4:36 minutes) but is not primarily video-based.,maybe,"Elicit states that the resource likely fits within a 2-hour session, given the scope described, though this is not explicitly stated.",no,Elicit indicates that the description does not provide any information about the duration of the resource in terms of number of sessions or weeks.,no,Elicit notes that the description does not provide any information about the duration of the resource in terms of number of sessions or months.,maybe,Elicit states that the description does not explicitly mention the suitability of the resource for Educación Infantil.,no,Elicit notes that the description does not explicitly mention the suitability of the resource for Ciclo de Educación Primaria.,no,Elicit states that the description does not explicitly mention the suitability of the resource for ESO.,no,Elicit notes that the description does not explicitly mention the suitability of the resource for Bachillerato.,no,"Elicit indicates that the description does not mention any explicit mathematical content, suggesting that the resource is not intended for Mathematics curricula.",no,Elicit states that the description does not mention whether the resource promotes teamwork.,maybe,"Elicit notes that the resource combines science (animal adaptations) with computer science concepts, suggesting that it promotes creativity and scientific spirit.",maybe,"Elicit states that the resource implicitly promotes the use of ICT through programming, but there is no explicit focus on the ""good use"" of ICT.",Exclude,"A computer science module combining animal adaptation science with sprite programming, offering a plugged activity that implicitly promotes creativity and scientific spirit. The resource appears to involve visual programming and integrates scientific and computational concepts, though specific details about educational level, duration, and explicit learning objectives are not fully clarified.",1.6
Simulating a Marine Ecosystem,-,-,-,-,-,-,Simulating-a-Marine-Ecosystem.pdf,maybe,"Elicit notes that while the description does not explicitly state that learners will practice pattern recognition or generalization, coding marine life ecosystems might involve pattern recognition implicitly.",yes,Elicit states that the resource addresses logical reasoning through the use of conditional statements and coding activities.,no,-,yes,"Elicit indicates that the resource connects computing to sustainable fishing practices and real-world environmental impacts, thus explicitly mentioning the social, ethical, or environmental impact of computing.",yes,"Elicit states that the resource uses Code.org's Sprite Lab for coding activities, which is a plugged (computer-based) activity.",yes,"Elicit notes that the resource includes an unplugged activity called ""Conditionals with Cards"", which does not require a computer.",yes,"Elicit states that the resource uses Sprite Lab, which is a visual/block-based programming environment.",yes,"Elicit indicates that the resource is structured as a module with multiple lessons, suggesting it is a full course or curriculum unit.",no,"Elicit notes that the resource includes a video component (Ocean Animals Video), but it is not primarily video-based.",maybe,"Elicit states that the resource includes multiple sessions, with Lessons 1 and 2 and additional activities of 50-55 minutes each, suggesting the estimated duration is up to 2 hours (Session).",maybe,"Elicit indicates that the resource includes multiple sessions, suggesting the estimated duration is 2-4 sessions (≈ one week).",maybe,-,no,-,no,-,no,-,no,-,no,Elicit states that the resource does not explicitly mention mathematical content.,maybe,Elicit notes that the resource does not explicitly mention promoting teamwork.,yes,Elicit indicates that the resource strongly promotes scientific spirit through ecosystem simulation and real-world connections.,yes,"Elicit states that the resource demonstrates the practical application of technology for environmental understanding, thus promoting the good use of ICT.",Exclude,"This resource offers a comprehensive computational learning experience integrating marine ecosystem simulation with coding activities, featuring both plugged and unplugged learning approaches. It strongly promotes scientific thinking and computational skills through practical, real-world connected exercises, with a focus on visual programming and sustainable technology applications. The material demonstrates robust potential for teaching logical reasoning and computational concepts across multiple learning modalities.",2.3
No title found,-,-,-,-,-,-,Hello-World-Emoji.pdf,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,,0.1
No title found,-,-,-,-,-,-,Hello-World-Transformers-One.pdf,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,,0.1
org Lesson Preparing to Teach a Lesson on AI,-,-,-,-,-,-,Our-AI-Code-of-Ethics.pdf,no,Elicit did not provide any explicit reasoning related to whether the description states that learners will practice pattern recognition or generalization.,yes,"Elicit stated that the description indicates students need to ""analyze and synthesize information to make recommendations"", which suggests the activity involves logical reasoning.",no,"Elicit noted that the description does not explicitly mention networks, the internet, or web technologies.",yes,"Elicit stated that the description ""strongly focuses on ethical implications of AI in society"", indicating it explicitly mentions the social and ethical impact of computing.",no,"Elicit noted that it is unclear from the description whether computers are used for research, so the type of activity (plugged or unplugged) cannot be determined.",maybe,"Elicit stated that the activity ""appears to be discussion and research-based"", suggesting it is likely an unplugged activity.",no,Elicit indicated that the description does not mention any visual or block-based programming environment.,no,"Elicit stated that the activity is ""a single lesson"" rather than a full course or curriculum unit.",no,"Elicit noted that while videos are mentioned as sources, the activity is not primarily video-based.",yes,"Elicit stated that the activity is specified as 45 minutes, which aligns with the ""Session"" duration criterion.",no,"Elicit indicated that the activity is a single session, not 2-4 sessions (approximately one week).",no,"Elicit stated that the activity is a single session, not 5-15 sessions (approximately one month).",no,Elicit noted that the topic seems too advanced for Educación Infantil.,maybe,Elicit stated that the topic seems too advanced for Ciclo de Educación Primaria.,maybe,"Elicit indicated that given the complexity of the ethical analysis, the activity is likely suitable for ESO and Bachillerato.",no,"Elicit indicated that given the complexity of the ethical analysis, the activity is likely suitable for ESO and Bachillerato.",no,"Elicit noted that the description does not mention any mathematical content, so the activity does not appear to be intended for Mathematics curricula.",yes,"Elicit stated that the activity ""explicitly mentions 'small groups'"", indicating it promotes teamwork.",yes,"Elicit stated that the activity ""involves research, analysis, and creative synthesis"", suggesting it promotes creativity and scientific spirit.",yes,"Elicit stated that the activity ""focuses on ethical use of AI technology"", indicating it promotes the good use of ICT.",Exclude,"This lesson on AI ethics strongly addresses logical reasoning, computing impact, teamwork, and creativity through a research-based group activity. It promotes ethical understanding of technology within a 45-minute session, likely suitable for secondary education levels. The activity focuses on synthesizing research and developing recommendations for responsible AI use in society.",2.3
No title found,-,-,-,-,-,-,Course-F-2024.pdf,no,No explicit mention of pattern recognition or generalization in Elicit's output. The reasoning indicates that the resource does not clearly address this criterion.,no,No explicit mention of logical reasoning in Elicit's output. The reasoning indicates that the resource does not clearly address this criterion.,maybe,"The resource mentions online communication and digital citizenship, which partially meets the criterion of mentioning networks, the internet, or web technologies.",yes,"The resource addresses the social and ethical impact of computing through its focus on cyberbullying and digital communities, meeting this criterion.",no,"The activity type is unclear, as Elicit's output does not specify whether it is a plugged (computer-based) activity.",no,"The activity type is unclear, as Elicit's output does not specify whether it is an unplugged activity (no computer required).",no,"Elicit's output does not mention the use of a visual/block-based programming environment, indicating that this criterion is not met.",no,"The resource appears to be a structured lesson, but not a full course or curriculum unit, according to Elicit's reasoning.",no,Elicit's output indicates that the resource is not video-based.,yes,"Elicit's output explicitly states that the estimated duration of the resource is 65 minutes, which meets the criterion for a session (up to 2 hours).",no,"Elicit's output does not provide information about the estimated duration being 2-4 sessions (approximately one week), so this criterion cannot be determined.",no,"Elicit's output does not provide information about the estimated duration being 5-15 sessions (approximately one month), so this criterion cannot be determined.",no,"Elicit's output does not specify the educational level the resource is intended for, so the suitability for Educación Infantil cannot be determined.",no,"Elicit's output does not specify the educational level the resource is intended for, so the suitability for Ciclo de Educación Primaria cannot be determined.",no,"Elicit's output does not specify the educational level the resource is intended for, so the suitability for ESO cannot be determined.",no,"Elicit's output does not specify the educational level the resource is intended for, so the suitability for Bachillerato cannot be determined.",no,Elicit's output indicates that the resource is not focused on mathematics curricula.,yes,"Elicit's output states that the resource promotes social interaction and community building, which meets the criterion of promoting teamwork.",no,"Elicit's output does not explicitly mention the resource promoting creativity and scientific spirit, so this criterion cannot be determined.",yes,"Elicit's output states that the resource promotes the good use of ICT through its focus on digital citizenship, meeting this criterion.",Exclude,"A digital citizenship lesson addressing cyberbullying and online communication, focusing on social and ethical computing impacts. The 65-minute session promotes teamwork and responsible technology use, though it lacks explicit connections to programming, mathematics, or specific educational levels. Its primary strength lies in exploring digital community dynamics and interpersonal skills in online environments.",1.6
No title found,-,-,-,-,-,-,Course-A-2024.pdf,no,"Elicit states that the description does not provide enough information to determine whether the resource addresses pattern recognition or generalization. The brief abstract only contains a title, which is insufficient to assess the educational content and learning objectives.",no,"Elicit states that the description does not provide enough information to determine whether the resource addresses logical reasoning. The brief abstract only contains a title, which is insufficient to assess the educational content and learning objectives.",yes,"Elicit states that the resource likely mentions networks or the internet, given the title ""My Online Neighborhood"", which suggests the resource may discuss digital environments and their impact.",maybe,"Elicit states that the resource may mention the social, ethical, or environmental impact of computing, as the title ""My Online Neighborhood"" suggests the resource may discuss digital environments and their impact.",yes,"Elicit states that the description does not provide enough information to determine whether the resource is primarily a plugged (computer-based) activity. The brief abstract only contains a title, which is insufficient to assess the format and delivery of the resource.",no,"Elicit states that the description does not provide enough information to determine whether the resource is primarily an unplugged activity (no computer required). The brief abstract only contains a title, which is insufficient to assess the format and delivery of the resource.",no,"Elicit states that the description does not provide enough information to determine whether the resource requires a visual / block-based programming environment (e.g., Scratch). The brief abstract only contains a title, which is insufficient to assess the format and delivery of the resource.",no,"Elicit states that the description does not provide enough information to determine whether the resource is structured as a full course or curriculum unit. The brief abstract only contains a title, which is insufficient to assess the format and structure of the resource.",no,"Elicit states that the resource is clearly a video-based material, as the title indicates it is a 5-minute video.",yes,"Elicit states that the resource meets the criterion for a session-length activity, as the title indicates it is a 5-minute video, which falls within the 2-hour session timeframe.",no,-,no,-,no,"Elicit states that the description does not provide enough information to determine whether the resource is explicitly suitable for Educación Infantil. The brief abstract only contains a title, which is insufficient to assess the target audience and suitability for specific educational levels.",no,"Elicit states that the description does not provide enough information to determine whether the resource is suitable for Ciclo de Educación Primaria. The brief abstract only contains a title, which is insufficient to assess the target audience and suitability for specific educational levels.",no,"Elicit states that the description does not provide enough information to determine whether the resource is suitable for ESO. The brief abstract only contains a title, which is insufficient to assess the target audience and suitability for specific educational levels.",no,"Elicit states that the description does not provide enough information to determine whether the resource is suitable for Bachillerato. The brief abstract only contains a title, which is insufficient to assess the target audience and suitability for specific educational levels.",no,"Elicit states that the description does not provide enough information to determine whether the resource is intended for Mathematics curricula. The brief abstract only contains a title, which is insufficient to assess the subject matter and educational focus of the resource.",no,"Elicit states that the description does not provide enough information to determine whether the resource promotes teamwork. The brief abstract only contains a title, which is insufficient to assess the educational approach and learning objectives of the resource.",no,"Elicit states that the description does not provide enough information to determine whether the resource promotes creativity and scientific spirit. The brief abstract only contains a title, which is insufficient to assess the educational approach and learning objectives of the resource.",no,"Elicit states that the description does not provide enough information to determine whether the resource promotes the good use of ICT. The brief abstract only contains a title, which is insufficient to assess the educational approach and learning objectives of the resource.",Exclude,"A 5-minute video titled ""My Online Neighborhood"" provides minimal information for comprehensive screening, clearly meeting only a few criteria such as being a video resource within a session duration. The extreme brevity prevents meaningful assessment of most educational and learning objective criteria, leaving significant gaps in understanding its potential educational value.",0.6
Warm Up (10 minutes) Reflect Vocabulary,-,-,-,-,-,-,Express-Course-2024.pdf,no,"The focus of the activity seems to be on basic programming concepts and sequencing, rather than explicitly addressing pattern recognition or generalization.",maybe,The activity implicitly promotes logical reasoning through the programming concepts and solving maze puzzles.,no,"The activity does not mention networks, the internet, or web technologies.",no,"The activity does not explicitly mention the social, ethical, or environmental impact of computing.",yes,"The activity includes computer-based programming activities, such as an ""online puzzle"" and ""Programming with Blocks"".",yes,"The activity begins with unplugged activities, such as the ""Maze Bridging Page Unplugged"".",yes,"The activity uses a block-based programming environment, including ""movement blocks"" and ""drag the actual blocks"".",no,The activity appears to be a single lesson (40 minutes total) and not a full course or curriculum unit.,no,The activity contains a video component but is not primarily video-based.,yes,"The total duration of the activity is 40 minutes, which fits within the 2-hour session criterion.",no,The activity is a single session and does not span 2-4 sessions (approximately one week).,no,The activity is a single session and does not span 5-15 sessions (approximately one month).,no,The activity does not explicitly state that it is suitable for Educación Infantil.,no,The activity does not explicitly state that it is suitable for Ciclo de Educación Primaria.,no,The activity does not explicitly state that it is suitable for ESO.,no,The activity does not explicitly state that it is suitable for Bachillerato.,no,The activity does not explicitly connect to mathematics curricula.,yes,"The activity promotes teamwork, as it mentions helping classmates and class discussion.",maybe,"The activity partially promotes creativity and scientific spirit, as it focuses on problem-solving and persistence, but does not explicitly mention scientific spirit.",yes,"The activity promotes the good use of ICT, as it includes guidelines for proper computer use and helping others.",Exclude,"This programming lesson combines unplugged and computer-based activities, focusing on block-based programming and problem-solving through maze puzzles. While promoting teamwork and good ICT practices, the resource lacks explicit connections to specific educational levels, pattern recognition, or broader computing impacts. The activity offers a structured, short-duration approach to introducing basic programming concepts.",2.3
No title found,-,-,-,-,-,-,Coding-with-Poetry.pdf,no,No explicit mention of pattern recognition or generalization in the description.,no,"While programming is involved, logical reasoning is not explicitly mentioned in the description.",no,"No explicit mention of networks, the internet, or web technologies in the description.",no,"The description does not discuss the social, ethical, or environmental impact of computing.",yes,"The resource involves computer-based activities including programming in what appears to be a visual environment (""Hour of Code"", ""Flappy Game""), indicating it is a plugged activity.",maybe,"The resource includes poetry reading activities that do not require computers, suggesting it is partially an unplugged activity.",yes,"The description implies the use of a visual / block-based programming environment (e.g., ""Hour of Code"", ""event blocks programming"").",yes,"The resource appears to be a structured module with multiple lessons, suggesting it is a course or curriculum unit.",no,The description does not mention any video-based materials.,yes,"The description mentions specific timeframes (55 minutes, 60 minutes) for individual activities, indicating the resource is suitable for a session (up to 2 hours).",maybe,"The description suggests multiple lessons, implying the resource is suitable for a week (2-4 sessions).",no,The description does not provide enough information to determine if the resource is suitable for a month (5-15 sessions).,no,"The description does not specify the grade levels the resource is suitable for, including Educación Infantil.",no,"The description does not specify the grade levels the resource is suitable for, including Ciclo de Educación Primaria.",no,"The description does not specify the grade levels the resource is suitable for, including ESO.",no,"The description does not specify the grade levels the resource is suitable for, including Bachillerato.",no,The description does not indicate that the resource is intended for Mathematics curricula.,maybe,"The description implies that the resource promotes teamwork through class activities, but this is not strongly emphasized.",yes,"The description indicates that the resource promotes creativity through poetry and programming, suggesting it promotes creativity and scientific spirit.",maybe,"The resource involves the educational use of technology, but the description does not explicitly state that it promotes the good use of ICT.",Exclude,"This resource integrates visual programming and creative arts through a structured module combining poetry reading and coding activities. It primarily features plugged activities with a focus on creativity, using Hour of Code and event-based programming within a session-length timeframe. The material offers an interdisciplinary approach blending technology and artistic expression without explicitly addressing all computational learning criteria.",2.3
No title found,-,-,-,-,-,-,Course-C-2024.pdf,no,No mention of pattern recognition or generalization activities.,no,No mention of logical reasoning activities.,yes,"Mentions ""computer, phone, or tablet"" and ""website or app"", indicating a focus on networks and internet technologies.",no,"No mention of the social, ethical, or environmental impact of computing.",maybe,Appears to be a plugged (computer-based) activity as it requires digital devices.,no,-,no,No mention of a visual/block-based programming environment.,no,Not enough information to determine if it's a full course or curriculum unit.,no,Not enough information to determine if it's mainly a video-based material.,no,Duration is not specified.,no,Duration is not specified.,no,Duration is not specified.,no,No indication of suitability for Educación Infantil.,no,No indication of suitability for Ciclo de Educación Primaria.,no,No indication of suitability for ESO.,no,No indication of suitability for Bachillerato.,no,No clear connection to mathematics curricula.,no,No mention of promoting teamwork.,no,No indication of promoting creativity and scientific spirit.,no,"While it involves ICT use, there's no explicit promotion of good ICT use.",Exclude,"The extremely brief text provides minimal details, only clearly indicating digital device usage and internet connectivity. Insufficient information exists to assess most screening criteria, rendering comprehensive evaluation impossible. The fragment lacks substantive context about learning objectives, educational approach, or specific technological engagement.",0.3
No title found,-,-,-,-,-,-,Implementing-Feedback-Student.pdf,no,"The abstract discusses analyzing and categorizing feedback, which implies some logical reasoning, though the reasoning notes this is only a ""weak match"" to the criterion.",maybe,"The abstract discusses analyzing and categorizing feedback, which implies some logical reasoning, though the reasoning notes this is only a ""weak match"" to the criterion.",no,No explicit mention of networks or the internet in the abstract.,no,"No direct discussion of computing's social, ethical, or environmental impact in the abstract.",no,The abstract does not clearly specify if the activity is plugged or unplugged.,no,The abstract does not clearly specify if the activity is plugged or unplugged.,no,No mention of a visual/block-based programming environment in the abstract.,yes,"The abstract indicates the resource appears to be part of a larger design thinking course or curriculum, which matches the Type_Course criterion.",no,No indication in the abstract that the resource is mainly video-based.,no,The abstract does not specify the duration of the activity.,no,The abstract does not specify the duration of the activity.,no,The abstract does not specify the duration of the activity.,no,The abstract does not explicitly mention suitability for Educación Infantil.,no,The abstract does not explicitly mention suitability for Ciclo de Educación Primaria.,no,The abstract suggests the content may be more appropriate for upper secondary/Bachillerato level given the complexity of design thinking and user feedback analysis.,no,The abstract suggests the content may be more appropriate for upper secondary/Bachillerato level given the complexity of design thinking and user feedback analysis.,no,The abstract indicates the resource is not specifically targeted at mathematics.,maybe,The abstract implies teamwork through the user feedback and iteration processes.,maybe,The abstract indicates the activity promotes creativity and scientific spirit through the design thinking methodology.,maybe,"The abstract suggests some connection to good ICT use through prototype development, though this is not explicitly stated.",Exclude,"Design thinking methodology focuses on iterative user feedback and prototype refinement, suggesting potential for logical reasoning and creativity. While the content implies teamwork and scientific approach, it lacks explicit connections to computing, networks, or specific educational technology criteria. The abstract provides a general framework for project development without clear alignment to most technical or computational learning objectives.",1
No title found,-,-,-,-,-,-,Prototype-Development-Part-2-Student.pdf,maybe,No explicit mention of pattern recognition or generalization in the description.,maybe,"The evaluation and iteration process of prototype development implies the presence of logical reasoning, but it is not explicitly focused on.",no,"No explicit mention of networks, the internet, or web technologies.",no,"No direct mention of the social, ethical, or environmental impact of computing.",yes,"The activity involves developing computer vision applications, which indicates it is a plugged (computer-based) activity.",no,"This appears to be a computer-based activity, so it is not an unplugged activity.",no,No mention of a visual / block-based programming environment.,no,"The activity is described as a ""today's lesson,"" suggesting it is a single lesson within a larger course or curriculum unit.",no,No indication that the material is video-based.,no,The lesson format suggests the activity can be completed within a 2-hour session.,no,"This appears to be a single session, not a series of 2-4 sessions.",maybe,"This appears to be a single session, not a series of 5-15 sessions.",no,"The complexity of computer vision suggests this is more appropriate for upper secondary (Bachillerato) level, but it is not explicitly stated.",maybe,"The complexity of computer vision suggests this is more appropriate for upper secondary (Bachillerato) level, but it is not explicitly stated.",maybe,"The complexity of computer vision suggests this is more appropriate for upper secondary (Bachillerato) level, but it is not explicitly stated.",no,"The complexity of computer vision suggests this is more appropriate for upper secondary (Bachillerato) level, but it is not explicitly stated.",no,No explicit mathematical focus is mentioned.,yes,"The activity involves ""brainstorming solutions together,"" which indicates it promotes teamwork.",yes,The iterative development process and prototype evaluation suggest the activity promotes creativity and scientific spirit.,yes,The focus on developing meaningful technology applications that address user needs indicates the activity promotes the good use of ICT.,Exclude,"A computer vision lesson focusing on prototype development demonstrates strong potential for a plugged activity promoting teamwork, creativity, and scientific thinking. While the material implicitly supports logical reasoning and good ICT use, it lacks explicit mentions of several key screening criteria. The complexity suggests suitability for upper secondary education, with an emphasis on user-centered technological solution development.",1.6
No title found,-,-,-,-,-,-,Software-Engineering-Computer-Vision.pdf,no,"The abstract does not provide any information about whether the resource addresses patterns or generalization, so it is not possible to determine if this criterion is met.",no,"The abstract does not provide any information about whether the resource addresses logical reasoning, so it is not possible to determine if this criterion is met.",no,"The abstract does not mention networks, the internet, or web technologies, so it is not possible to determine if this criterion is met.",no,"The abstract does not mention the social, ethical, or environmental impact of computing, so it is not possible to determine if this criterion is met.",no,"The abstract does not provide any information about the type of activity (plugged or unplugged), so it is not possible to determine if this criterion is met.",no,"The abstract does not provide any information about the type of activity (plugged or unplugged), so it is not possible to determine if this criterion is met.",no,"The abstract does not mention the use of a visual/block-based programming environment, so it is not possible to determine if this criterion is met.",no,"The abstract does not provide any information about the structure of the resource (course, curriculum unit, etc.), so it is not possible to determine if this criterion is met.",no,"The abstract does not indicate whether the resource is primarily video-based, so it is not possible to determine if this criterion is met.",no,"The abstract does not provide any information about the estimated duration of the resource, so it is not possible to determine if this criterion is met.",no,"The abstract does not provide any information about the estimated duration of the resource, so it is not possible to determine if this criterion is met.",no,"The abstract does not provide any information about the estimated duration of the resource, so it is not possible to determine if this criterion is met.",no,"The abstract does not indicate the educational level(s) the resource is suitable for, so it is not possible to determine if this criterion is met.",no,"The abstract does not indicate the educational level(s) the resource is suitable for, so it is not possible to determine if this criterion is met.",no,"The abstract does not indicate the educational level(s) the resource is suitable for, so it is not possible to determine if this criterion is met.",no,"The abstract does not indicate the educational level(s) the resource is suitable for, so it is not possible to determine if this criterion is met.",no,"The abstract does not indicate whether the resource is intended for Mathematics curricula, so it is not possible to determine if this criterion is met.",no,"The abstract does not provide any information about whether the resource promotes teamwork, so it is not possible to determine if this criterion is met.",no,"The abstract does not provide any information about whether the resource promotes creativity and scientific spirit, so it is not possible to determine if this criterion is met.",maybe,"While the abstract indicates that the resource is a ""Teacher resource"", it does not explicitly state whether it promotes the good use of ICT, so it is not possible to determine if this criterion is met.",Exclude,"The extremely brief text ""Teacher resources"" provides insufficient information to assess any of the screening criteria comprehensively. Without additional context about content, format, learning objectives, or target audience, it is impossible to determine alignment with the specified educational and technological requirements. Consequently, the resource cannot be meaningfully evaluated against the established screening criteria.",0.3
